share_corona_pre,share_others_pre,share_corona_post,share_others_post,countries
0.0,0.0005324387434445654,0.0006702132115779332,0.0005874026893135173,Sri Lanka
0.0011402508551881414,0.0018490356362758985,0.003323140507407252,0.0019143665958952583,Indonesia
0.0,0.00010787974540380085,0.00030019966768594924,8.315640481245576e-05,Bolivia
0.002280501710376283,0.004548349265895733,0.003078791940686131,0.004146614767633876,New Zealand
0.039908779931584946,0.004983348239298155,0.011093424929138916,0.007065345600377447,Saudi Arabia
0.0034207525655644243,0.001739995893609691,0.003825800416090702,0.0019361877801368247,Nigeria
0.0011402508551881414,0.001329356862717804,0.001954788533768972,0.0011877801368247228,Lebanon
0.0,0.0009175578345635105,0.0027297225596559574,0.0012390894078792168,United Arab Emirates
0.0,0.0010521175170026599,0.0005585110096482777,0.0005449398443029016,Jersey
0.0034207525655644243,0.003519431694141202,0.005194152389728982,0.0043866477942911064,Malaysia
0.0,0.0010845974403500408,0.0042237395104651,0.0014183769757018165,Bangladesh
0.0,5.103987954588427e-05,0.00020944162861810415,4.836046237320123e-05,Honduras
0.0,0.00028419932928958286,0.00028623689244474234,0.000291932059447983,Costa Rica
0.005701254275940707,0.005180547773907254,0.006911573744397437,0.0060792639773531495,Egypt
0.0,0.0009279978099251686,0.0005375668467864673,0.0011411889596602972,Slovakia
0.0011402508551881414,0.0029336330766259393,0.0019059188204247476,0.0029582448690728944,Hungary
0.0,0.00036423914039562864,0.00035605076865077704,0.00037921679641424866,Latvia
0.0011402508551881414,0.0006971583547062829,0.0023248020776609557,0.0009052842651568766,Nepal
0.002280501710376283,0.001830475680077395,0.0014032589117412978,0.0011989856098136352,Georgia
0.0,4.639989049625843e-05,0.0001396277524120694,3.302665723047889e-05,Liberia
0.0,0.0008166380727341483,0.0007051201496809506,0.0007354328851144138,Bulgaria
0.0068415051311288486,0.00403447047864967,0.003762967927505271,0.004650861052134938,Thailand
0.002280501710376283,0.00015775962768727866,0.00018849746575629373,0.0001739797121962727,Myanmar
0.0011402508551881414,0.0009187178318259168,0.0014870355631885393,0.0010143901863647086,Ghana
0.0,8.699979468048456e-05,6.98138762060347e-05,6.841236140599197e-05,Grenada
0.0,0.001495236471241928,0.0013892961365000907,0.001601792875678226,Slovenia
0.0011402508551881414,0.001427956630022353,0.0019478071461483685,0.001542816702052371,Croatia
0.002280501710376283,0.0011147573691726088,0.0011449475697789693,0.0011541637178579854,Tunisia
0.0,0.00011019973992861377,0.00022340440385931108,0.00011736258551545176,Guatemala
0.0034207525655644243,0.003695751278026984,0.007351401164495455,0.004620193441849493,Pakistan
0.0,0.000740078253415322,0.0007400270877839679,0.0008138711960368011,Ukraine
0.0,6.031985764513596e-05,9.773942668844859e-05,7.78485491861288e-05,Montenegro
0.0,0.0003932390719557902,0.00042586464485681175,0.0004771172446331682,Algeria
0.0,0.0006252385244370824,0.00118683589550259,0.0006387119603680113,Cyprus
0.0011402508551881414,0.0004465989460264874,0.000593417947751295,0.00044114177872139654,Luxembourg
0.0,0.00013339968517674298,0.0004677529705804326,0.00016513328615239443,Bahrain
0.002280501710376283,0.0018722355815240276,0.0021851743252488866,0.001970983722576079,Ethiopia
0.0011402508551881414,0.00016703960578653035,0.00043982742009801866,0.00019992922859164898,Rwanda
0.0,0.0002482394141549826,0.0004677529705804326,0.00023177636234961076,Senegal
0.002280501710376283,0.0008665179550176262,0.00118683589550259,0.0009512856805850437,Uganda
0.0,0.00028187933476476996,0.0006283248858543124,0.000268341589997641,Zimbabwe
0.004561003420752566,0.0035252316804532343,0.0035954146246107875,0.0032649209719273413,Argentina
0.0011402508551881414,0.0005266387571325332,0.00118683589550259,0.000657584335928285,Iraq
0.0,0.00010787974540380085,0.00017453469051508677,9.849020995517811e-05,Paraguay
0.0,1.8559956198503372e-05,4.8869713344224296e-05,1.533380514272234e-05,Dominica
0.0011402508551881414,0.000765598193188264,0.0006073807229925019,0.0007342533616418967,Tanzania
0.0,0.0002633193785662666,0.000488697133442243,0.0002990092002830856,Zambia
0.0,0.0005069188036716234,0.0008517292897136235,0.0005077848549186128,Cameroon
0.0,0.00021923948259482107,0.00028623689244474234,0.00018164661476763387,Panama
0.0011402508551881414,0.001301516928420049,0.0016336447032212122,0.001280962491153574,Kenya
0.0011402508551881414,0.0003062392772753056,0.0004817157458216395,0.00038275536683179994,Kazakhstan
0.0011402508551881414,0.000931477801712388,0.002261969589075525,0.0010037744751120548,Jordan
0.004561003420752566,0.0010753174622507892,0.0024504670548318183,0.0012042934654399623,Qatar
